高中 生物 分子与细胞 组成细胞的化学元素 组成细胞的化合物,菠菜从土壤中吸收的氮元素可以用来合成（）A.淀粉和纤维素B.葡萄糖和DNAC.核酸和蛋白质D.麦芽糖和脂肪酸
高中 生物 稳态与环境 神经调节和体液调节的比较,下列有关生物体内信息传递的叙述，正确的是（）A下丘脑分泌的促甲状腺激素释放激素，可作用于甲状腺B小肠黏膜产生促胰液素，可作用于胰岛细胞C突触前膜释放神经递质，可作用于肌肉和某些腺体D燕麦幼根细胞分裂素含量较高，可促进乙烯的合成
高中 生物 生物技术实践 生物工程技术,从自然菌样筛选较理想生产菌种的一般步骤是：采集菌样→富集培养→纯种分离→性能测定．1.不同微生物的生存环境不同，获得理想微生物的第一步是从适合的环境采集菌样，然后再按一定的方法分离、纯化．培养嗜盐菌的菌样应从环境采集．2.富集培养指创设仅适合待分离微生物生长的特定环境条件，使其数量大大增加，从而分离出所需微生物的培养方法．对降解苯酚的微生物的富集培养应选择的培养基．3.如图为分离纯化降解苯酚细菌的部分操作步骤．请回答下列问题：培养基常用灭菌方法是在温度为℃条件下，维持15﹣30min．①是制备培养基时中的主要操作．完成步骤④的操作，接种共需要次的灼烧处理．划线的某个平板经培养后，第一划线区域的划线上都不间断地长满了菌落，第二划线区域的第一条线上无菌落，其它划线上有菌落．造成划线无菌落可能的操作失误有．4.培养一段时间后，在培养基表面形成多个单菌落，不同菌株降解苯酚能力有差异，需要做降解能力的性能测定，为选出降解能力强的菌株，具体思路是：．5.获得分解能力强的菌种后，为了临时保存菌种，把菌种接种在试管的培养基上，在合适温度下培养，等菌落长成后，再放入4℃冰箱保藏．
高中 生物 生物技术实践 生物技术在其他方面的应用 器官移植 复等位基因 胚胎移植 基因工程的概念 基因工程的原理及技术,目前，精子载体法逐渐成为具有诱惑力的制备转基因动物方法之一，该方法以精子作为外源基因的载体，使精子携带外源基因进入卵细胞受精．如图表示利用该方法制备转基因鼠的基本流程．请据图回答：1.精子载体法过程中外源基因能够整合到精子的上是提高转化率的关键，因为受精时只有精子的才能进入卵细胞中．2.过程②采用的是技术，卵细胞必需是培养到时期才能进行．3.利用转基因动物分泌的乳汁来生产药物的反应器是科学家用药用蛋白基因与的启动子等调控组件重组在一起，然后导入哺乳动物的受精卵中，最终生长发育成转基因动物．4.过程③中形成无毒环境的做法是；该过程通入氧气的目的是．
高中 地理 宇宙中的地球 地球运动的地理意义,某人想乘普通飞机在一年中连续过两次生日，你认为应穿越（）A赤道B两级C本初子午线D国际日期变更线
高中 地理 宇宙中的地球 太阳对地球的影响,关于太阳辐射对地球影响的叙述，正确的是（）A太阳放出的能量中到达地球的很多，成为地球表面自然环境变化的主要动力B太阳能是目前人类日常生活和生产所用的能源C太阳辐射能是地球上大气、水、生物和火山活动的主要动力D煤、石油、核能等能源在形成过程中固定了大量的太阳辐射能
高中 生物 分子与细胞 溶酶体的结构和功能 与细胞分裂有关的细胞器 高尔基体的结构和功能 中心体的结构和功能 液泡的结构和功能 内质网的结构和功能 核糖体的结构和功能 走进细胞,如图分别为两种细胞器的部分结构示意图，其中分析错误的是（）A.图a表示线粒体，[H]与氧结合形成水发生在有折叠的膜上B.图b表示叶绿体，直接参与光合作用的膜上有色素的分布C.两图代表的细胞器都与能量转换有关，并可共存于一个细胞D.两图所示的结构与ATP形成有关的酶都在内膜和基质中
高中 生物 生物科学与社会 不完全显性 人工授精、试管婴儿等生殖技术 生物性污染 避孕的原理和方法,如图为某遗传病的系谱图，以下判断正确的是（）A母亲肯定是纯合子，子女是杂合子B该遗传病女性发病率高于男性C该遗传病不可能是X染色体上的隐性遗传D子女中的致病基因不可能来自父亲
高中 历史 古代史 中央官制——三公九卿制 郡县制 “重农抑商”政策 夏商两代的政治制度 皇帝制度,1399年，明太祖朱元璋第四子燕王朱棣起兵反叛侄儿朱允炆，攻占都城南京，赶跑了当时明朝建文帝——朱允炆，登上皇帝宝座，史称明成祖。他虽然成功开创了中国封建历史上著名的“永乐盛世”，但后来封建史家仍以“篡位”视之，主要是因为他（）A.是以武力夺取皇位的B.违背了嫡长子继承制C.违背封建道德规范D.不符合封建史家的利益
高中 生物 分子与细胞 蛋白质的合成 组成细胞的化学元素 组成细胞的化合物,下列不属于蛋白质的是（）A.性激素B.淀粉酶C.胰岛素D.抗体
高中 生物 生物技术实践 生物技术在其他方面的应用 复等位基因 基因工程的概念 基因工程的原理及技术,Ti质粒上有T﹣DNA，这种DNA可以转移到受体细胞，这种DNA可以转移到受体细胞，并且整合到受体细胞染色体的DNA上．这种质粒存在于（）A大肠杆菌B农杆菌C酵母菌D苏云金芽孢杆菌
高中 地理 宇宙中的地球 地球运动的地理意义,广东省肇庆市七星岩仙女湖畔有一座长达1000多米的天然石山酷似一尊卧佛（卧佛头朝正北脚朝正南）。每年九、十月份都有几天在太阳下山时，可见到太阳徐徐从卧佛口中落下，形成“卧佛含丹”的地理奇观（如下图所示），欣赏“卧佛含丹”的奇观，应在“佛头”的（）方位A西南B东南C西北D东北
高中 生物 生物科学与社会 人工授精、试管婴儿等生殖技术 减数分裂与有丝分裂的比较 生物性污染 避孕的原理和方法,人类在正常情况下，男性产生的精子中常染色体数和性染色体种类的组合是（）A22+XYB22+XC44+XYD22+X或22+Y
高中 生物 生物科学与社会 生物技术在其他方面的应用 器官移植 复等位基因 胚胎移植 基因工程的概念 基因工程的原理及技术,请回答下列与基因工程、胚胎工程、生态工程有关的生物学问题：1.基因工程技术中获得目的基因后，利用PCR技术将该基因扩增，前提是要有一段已知目的基因的核苷酸序列，以便根据这一序列合成．PCR技术中需要的关键酶是．2.将目的基因导入植物细胞采用最多的方法是农杆菌转化法，农杆菌的作用是．我国培育的转基因抗虫棉发展迅猛，请写出分子水平检测抗虫棉基因是否表达的方法．3.体外受精是胚胎工程的重要环节，来自母方的卵母细胞要在输卵管内进一步成熟，达到时期，才具备与精子受精的能力．胚胎移植是胚胎工程最后一道工序，其重要意义是．4.桑基鱼塘生态系统能充分利用废弃物中的能量，形成无废弃物农业，这主要遵循了生态工程的原理．我国西北一些地区年降雨量较少，适宜种植灌木和草，却被硬性种植了属于乔木的杨树，结果许多杨树长得半死不活，防护林成为残败的“灰色长城”．其失败的原因主要是违背了原理．
高中 地理 人口与城市 人口增长与人口问题,造成X，Y两国人口增长模式差异的根本原因是（）A经济水平B教育水平C历史条件D自然条件
高中 历史 近代史 中央官制——三公九卿制 郡县制 “重农抑商”政策 夏商两代的政治制度 皇帝制度 文艺的春天,公元前六世纪到公元前四世纪是东西方哲学思想发展的重要时期，当时对儒家的“民本思想”与智者学派的“人文主义”思想出现的社会背景主要的不同是（）A.讨论主题不同B.诞生的政治氛围不同C.价值取向不同D.所处的历史阶段不同
高中 地理 宇宙中的地球 地球运动的地理意义,两幅图分别是两条大河的河口图，图中小岛因泥沙不断堆积而扩展，最终将与河的哪岸相连（）①甲岸②乙岸③丙岸④丁岸A①③B②③C①④D②④
高中 生物 生物科学与社会 避孕的原理和方法 遗传的分子基础 遗传的细胞基础 人工授精、试管婴儿等生殖技术 生物性污染 基因的自由组合规律的实质及应用,一种鹰的羽毛有条纹和非条纹、黄色和绿色的差异，已显示了鹰羽毛的杂交遗传，对此合理的解释是()①绿色对黄色完全显性②绿色对黄色不完全显性③控制羽毛性状的两对基因完全连锁④控制羽毛性状的两对基因自由组合A.①③B.①④C.②③D.②④
高中 地理 宇宙中的地球 太阳对地球的影响,太阳的大气层由里向外依次是（）A日冕、色球、光球B色球、光球、日冕C日冕、光球、色球D光球、色球、日冕
高中 生物 生物科学与社会 避孕的原理和方法 减数分裂的概念 人工授精、试管婴儿等生殖技术 生物性污染 减数分裂与有丝分裂的比较,下列甲、乙分裂过程中产生配子时发生的变异图解，请判断下列说法正确的是（）A甲图中发生了基因突变，乙图中发生了基因重组B甲图中的a基因是由于交叉互换造成的C甲图发生的变异时间在减数第二次分裂间期D乙图造成的变异是发生在减数第一和第二次分裂过程中
